N	nitrogenの化学記号
N,N.	North; Northern
N,n	英語アルファベットの第14字(子音字) / N字型のもの / 《n》不定整数
N-bomb	核爆弾
N.A.	North America / not applicable(不適格) / not available(該当なし)
N.B.,n.b.	ラテン語
N.C.,NC	North Carolina
N.D.,ND	North Dakota
N.Dak.	North Dakota
N.E.	New England / North-East[ern]
N.G.	National Guard(米国)州民軍,州兵 / (また『n.g.』)no good
N.H.,NH	New Hampshire
N.J.,NJ	New Jersey
N.M.,NM,N.Mex.	New Mexico
N.S.	Nova Scotia / New Style
N.T.P.	normal temperature and pressure 平常体温ならびに血圧
N.Y.,NY	New York
N.Y.C.	New York City
N.Z.	New Zealand
NAACP	National Association for the Advancement of Colored People全米有色人種地位向上協会
NAS	National Academy of Sciences(米国)連邦学術会議
NASA	The National Aeronautics and Space Administration 米国航空宇宙局
NATO	North Atlantic Treaty Organization
NB	Nebraska
NBS	National Bureau of Standards(米国)規格基準局
NCO	Noncommissioned Officer陸軍下士官
NE	Nebraska / northeast[ern]
NE,N.E.	northeast; northeastern
NEA	National Education Association(米国)連邦教育委員会
NEB	New English Bible新英訳聖書
NET	National Educational Television 米教育テレビジョン
NF,N.F.	no funds預金なし(銀行から小切払出入への通知) / Norman French
NGK.,N.GK.	New Greek
NHI	National Health Insurance(英国の)国民健康保険
NHS	National Health Service
NL	New Latin
NNE	north-northeast
NNW	north-northwest
NORAD	North American Air Defense Command北米大陸防空総軍司令部
NRA	National Recovery Administration 米国産業復興局
NRC	Nuclear Regulatory Commission 米国原子力規制委員会
NS	Nuclear ship 原子力船
NSA	National Security Agency(米国の)国家安全保障局
NSC	National Security Council(米国の)国家安全保障会議
NSF	National Science Foundation 全米科学財団 / not sufficient funds(銀行の)預金不足
NT,N.T.	New Testament 新約聖書
NV	Nevada
NW,N.W.,n.w.	northwest / northwestern
Na	sodium(ラテン語natrium)の化学記号
Nairobi	ナイロビ(ケニア)Kenya共和国の首都
Nanking	ナンキン(南京)(揚子江に臨む港市て,もと中国の首都)
Naples	ナポリ(イタリア南西部の港市;イタリア名はNapoli)
Napoleonic	ナポレオン1世の;ナポレオン時代の / ナポレオンのような
Napoléon	ナポレオン1世(~『Bonaparte』;1769‐1821;コルシカ生まれのフランスの皇帝) / ナポレオン3世(『Louis ~ Bonaparte』;1808‐73;ナポレオン1世の甥(おい)で、フランス皇帝)
Narcissus	ナルシサス(ギリシア神話で水に映った自分の姿に恋して水に落ちスイセンの花と化した美女年)
Nashville	ナッシュビル(米国Tennessee州中部の都市で州都)
National Guard	《the~;集合的に》(米国の)州民軍,州兵(平時は州の治安維持にあたり,戦時には,正規軍に編入される民兵隊)
National Health Service	(英国の)国民健康保険制度
National Insurance	(英国の)国民保険[制度]
National League	《the~》ナショナルリーグ(米国2大プロ野球連盟の一つ)
National Socialism	=Nazism,Naziism
National Trust	(英国の)史(名)跡保存協会
Navaho	〈C〉ナバホ族(人)(北米New Mexico, Arizonaに住むインディアン = Navajo) / 〈U〉ナバホ語
Nazarene	〈C〉ナザレの人 / 《the Nazarene》キリスト
Nazareth	ナザレ(イスラエル北部の都市;キリストが少年時代を過ごして)
Nazi	〈C〉(ドイツの)ナチ党員;《the Nazis》ナチ党(Hitlerが創設したドイツの国家社会主義政党) / ナチ党の
Nazism,Naziism	ナチズム,ドイツ国家社会主義
Nb	niobiumの化学記号
Nd	neodymiumの化学記号
Ne	neonの化学記号
Neanderthal man	〈U〉ネアンデルタール人(旧石器時代の原始人類) / 〈C〉《話》(がん強だが)鈍い男
Neapolitan	ナポリの,ナポリ風の / ナポリ[生まれの]人,ナポリの住人
Near East	《the~》近東
Neb.,Nebr.	Nebraska
Nebraska	ネブラスカ州(米国中部の州;州都はLincoln;《略》『Neb.,Nebr.,NB』)
Negress	黒人女性
Negritude	(特にアフリカの)黒人文化,黒人としての誇り
Negro	黒人,ニグロ / 黒人の,ニグロの;黒人に関する
Negroid	黒人に似た;黒人系の / 黒人系の人
Nehru	ネール(『Jawaharlal~』;1889‐1964;インド共和国の初代首相1947‐64)
Nemesis	ネメシス(ギリシア神話で人に応報天罰を与える女神) / 《n-》《文》〈U〉天罰,因果;〈C〉天罰(因果)を与える人;かなわない相手
Neolithic	新石器時代の
Nepal	ネパール(インドとチベットの間にある国。2008年に王制を廃止;首都はKatmandu)
Neptune	ネプチューン(ローマ神話の海神で,ギリシア神話のPoseidonにあたる) / 海王星
Nereid	ネレイス(ギリシア神話の海の精)
Nero	ネロ(キリスト教徒を迫害した残虐なローマ皇帝)
Nestor	《単数形で》《文》賢明な老人,長老
Neth.	Netherlands
Netherlander	オランダ人
Netherlands	『オランダ』(Hollandの公式名;首都はAmsterdam,政府所在地はThe Hague)
Nev.	Nevada
Nevada	ネバダ州(米国西部の州;州都はCarson City;《略》『Nev.,NV』)
New Deal	ニューディール政策(米国大統領F.D.Rooseveltが1933年にとった経済復興と社会保障増進の政策)
New Delhi	ニューデリー(インド北部都市;インド共和国の首都)
New England	ニューイングランド(Connecticut,Massachusetts,Rhode Island,Vermont,New Hampshire,Maineの米国北東部6州)
New Englander	ニューイングランド地方の人(住民)
New Guinea	ニューギニア(オーストラリア大陸の北方にある世界第2の大島)
New Hampshire	ニューハンプシャー(米国北東部の州;州都はConcord;《略》N.H.,NH)
New Haven	ニューヘーブン(米国Connecticut州南部のLong Island Soundに臨む港市;Yale大学の所在地)
New Jersey	ニュージャージー州(米国東部大西男岸の州;州都はTrenton;《略》N.J.,NJ)
